ID,KODE LOKASI,NO SERTIFIKAT,LUAS,SK HAK,AKHIR,LOKER,BUNDEL,HALAMAN,STATUS PENYIMPANAN,SCAN SERTIFIKAT,IDAREAL_OLD
1,,01.05.13.19.3.00001,94,HGB 30,2047-02-22,20889,I,31,Ada,uploads/1/2018-07/11015264PIKAT3579.pdf,5264
2,,01.05.13.19.3.00002,404,HGB 30,2047-02-22,20889,I,32,Ada,uploads/1/2018-07/11015264PIKAT3577.pdf,5264
3,,01.05.76.22.3.00001,15048,HGB 30,2027-09-24,20889,I,43,Ada,uploads/1/2018-07/1101129PIKAT15.pdf,129
4,,01.05.85.18.3.00001,998,HGB 20,2013-11-05,20889,I,36,Ada,uploads/1/2018-07/1101128PIKAT6.pdf,128
5,,01.05.77.03.3.00003,2801,HGB 30,2024-09-24,20889,I,39,Ada,uploads/1/2018-07/1101130PIKAT3.pdf,130
6,,01.05.75.10.3.00001,5828,HGB 30,2027-09-24,20889,I,33,Ada,uploads/1/2018-07/1101124PIKAT14.pdf,124
7,,72.68.38.20.0.00009,1368,HP,0000-00-00,20889,I,40,Ada,uploads/1/2018-07/1101121PIKAT18.pdf,121
8,,72.68.38.30.0.00013,410,HP,0000-00-00,20889,I,42,Ada,uploads/1/2018-07/1101127PIKAT8.pdf,127
9,,01.05.78.01.3.00001,3000,HGB 30,2013-08-20,20889,I,38,Tidak ada,uploads/1/2018-07/1101131PIKAT20.pdf,131
10,,01.05.82.21.3.00001,4080,HGB 30,2024-09-24,20889,I,34,Ada,uploads/1/2018-07/1101123PIKAT19.pdf,123
11,,01.05.70.14.4.00003,2796,HP,0000-00-00,,,,Tidak Ada,uploads/1/2018-07/1101126PIKAT16.pdf,126
12,,01.05.79.30.2.00001,1490,HGB 20,2016-09-24,20889,I,37,Ada,uploads/1/2018-07/1101125PIKAT4.pdf,125
13,,01.05.75.01.4.00008,4200,HP 10,2001-03-10,,,,Tidak Ada,uploads/1/2018-07/1101132PIKAT17.pdf,132
14,,01.05.73.27.2.00002,1200,HGB 20,2016-09-24,20889,I,35,Tidak ada,uploads/1/2018-07/1101122PIKAT5.pdf,122
15,,01.05.87.11.3.00001,25,HGB 20,2018-09-24,20889,III,9,Ada,uploads/1/2018-07/11013006PIKAT11.pdf,3006
16,,01.05.84.17.3.00001,25,HGB 20,2018-09-24,20889,III,12,Ada,uploads/1/2018-07/11013004PIKAT9.pdf,3004
17,,01.05.71.23.3.00001,82,HGB 20,2018-09-24,20889,III,13,Ada,uploads/1/2018-07/11013005PIKAT2.pdf,3005
18,,01.05.70.03.3.00001,812,HGB 20,2013-11-05,20889,I,41,Tidak ada,uploads/1/2018-07/11012127PIKAT7.pdf,2127
19,,01.05.84.04.3.00001,25,HGB 20,2018-09-24,20889,III,11,Ada,uploads/1/2018-07/11013004PIKAT9.pdf,3004
20,,01.05.86.15.3.00001,95,HGB 20,2018-09-24,20889,III,10,Ada,uploads/1/2018-07/11013002PIKAT10.pdf,3002
21,,01.05.72.05.3.00001,216,HGB 20,2018-09-24,20889,III,14,Ada,uploads/1/2018-07/11013001PIKAT12.pdf,3001
22,,01.05.83.08.3.00001,100,HGB 20,2018-09-24,20889,III,15,Ada,uploads/1/2018-07/11013003PIKAT13.pdf,3003
23,,01.10.75.04.3.00001,25,HGB 20,2017-09-02,20889,III,18,Ada,uploads/1/2018-07/11023008PIKAT22.pdf,3008
24,,01.10.77.11.3.00001,45,HGB 20,2017-09-02,20889,III,17,Ada,uploads/1/2018-07/11023009PIKAT23.pdf,3009
